user,gender,fb_friend_count,sender_count,recipient_count,caller_count,callee_count
430,0,2.0,10.0,9.0,1.0,4.0
431,0,20.0,0.0,0.0,0.0,0.0
432,0,18.0,1.0,2.0,0.0,0.0
433,0,2.0,0.0,0.0,0.0,0.0
434,0,1.0,0.0,0.0,0.0,0.0
435,0,6.0,7.0,8.0,4.0,0.0
436,0,24.0,20.0,20.0,10.0,9.0
437,0,17.0,9.0,8.0,0.0,0.0
438,0,14.0,7.0,4.0,0.0,2.0
439,1,14.0,0.0,0.0,0.0,0.0
440,0,22.0,1.0,1.0,1.0,2.0
441,0,13.0,17.0,20.0,10.0,9.0
442,0,9.0,10.0,11.0,0.0,1.0
443,1,10.0,0.0,0.0,0.0,0.0
444,0,49.0,16.0,23.0,11.0,10.0
445,0,8.0,5.0,4.0,3.0,0.0
446,0,14.0,10.0,12.0,7.0,18.0
447,0,2.0,0.0,0.0,0.0,0.0
448,0,23.0,116.0,112.0,9.0,5.0
449,0,12.0,39.0,22.0,26.0,33.0
450,0,7.0,0.0,0.0,0.0,0.0
451,0,4.0,1.0,1.0,0.0,0.0
452,-1,9.0,4.0,4.0,0.0,0.0
453,0,6.0,1.0,1.0,0.0,2.0
454,-1,21.0,15.0,10.0,3.0,6.0
455,0,11.0,7.0,3.0,8.0,3.0
456,0,3.0,0.0,0.0,0.0,0.0
457,0,34.0,31.0,25.0,5.0,18.0
458,-1,10.0,23.0,20.0,0.0,0.0
459,0,2.0,14.0,15.0,6.0,8.0
460,0,7.0,0.0,0.0,0.0,0.0
461,0,10.0,4.0,5.0,3.0,1.0
462,0,19.0,4.0,4.0,0.0,0.0
463,0,5.0,0.0,0.0,0.0,0.0
464,1,20.0,9.0,7.0,1.0,0.0
465,0,12.0,60.0,109.0,8.0,25.0
466,0,34.0,13.0,14.0,12.0,3.0
467,0,14.0,0.0,0.0,3.0,0.0
468,0,4.0,7.0,10.0,5.0,3.0
469,1,29.0,21.0,22.0,0.0,5.0
470,1,21.0,6.0,7.0,6.0,47.0
471,1,13.0,4.0,6.0,3.0,5.0
472,0,72.0,83.0,86.0,9.0,11.0
473,0,8.0,4.0,4.0,0.0,10.0
474,0,23.0,131.0,117.0,20.0,17.0
475,0,12.0,54.0,63.0,0.0,0.0
476,1,27.0,8.0,13.0,0.0,9.0
477,1,11.0,16.0,16.0,0.0,0.0
478,0,19.0,0.0,0.0,2.0,1.0
479,0,18.0,4.0,6.0,1.0,4.0
480,0,13.0,61.0,43.0,13.0,4.0
481,1,0.0,797.0,555.0,2.0,3.0
482,0,19.0,20.0,12.0,4.0,0.0
483,0,14.0,0.0,0.0,0.0,1.0
484,1,15.0,9.0,14.0,0.0,0.0
485,0,101.0,120.0,111.0,23.0,9.0
486,1,57.0,3.0,4.0,0.0,2.0
487,0,31.0,0.0,0.0,0.0,0.0
488,0,8.0,19.0,29.0,0.0,0.0
489,0,9.0,33.0,27.0,0.0,2.0
490,0,18.0,2.0,2.0,3.0,1.0
491,0,11.0,14.0,15.0,25.0,8.0
492,0,26.0,118.0,103.0,24.0,20.0
493,0,3.0,0.0,0.0,0.0,0.0
494,0,14.0,26.0,26.0,2.0,1.0
495,0,1.0,17.0,16.0,24.0,31.0
496,0,13.0,0.0,0.0,0.0,0.0
497,1,9.0,0.0,0.0,0.0,0.0
498,0,2.0,0.0,0.0,0.0,0.0
499,1,25.0,36.0,25.0,7.0,6.0
500,0,2.0,1.0,1.0,2.0,2.0
501,0,2.0,0.0,0.0,0.0,0.0
502,0,19.0,0.0,0.0,2.0,2.0
503,0,49.0,15.0,11.0,9.0,7.0
504,0,12.0,0.0,0.0,2.0,5.0
505,0,25.0,23.0,25.0,3.0,13.0
506,0,16.0,17.0,27.0,1.0,9.0
507,1,19.0,34.0,34.0,11.0,11.0
508,0,10.0,0.0,0.0,0.0,2.0
509,0,16.0,4.0,5.0,0.0,0.0
510,0,19.0,0.0,0.0,1.0,4.0
511,0,,,,,
512,1,45.0,357.0,330.0,7.0,7.0
513,0,9.0,12.0,14.0,1.0,1.0
514,0,11.0,0.0,0.0,1.0,1.0
515,0,2.0,0.0,0.0,0.0,0.0
516,0,1.0,0.0,0.0,0.0,0.0
517,0,6.0,0.0,0.0,1.0,1.0
518,0,5.0,0.0,0.0,0.0,0.0
519,0,16.0,10.0,15.0,1.0,1.0
520,0,14.0,0.0,0.0,0.0,0.0
521,1,64.0,71.0,66.0,16.0,14.0
522,0,9.0,8.0,7.0,7.0,8.0
523,0,11.0,3.0,2.0,0.0,0.0
524,1,51.0,25.0,32.0,2.0,3.0
525,1,28.0,0.0,0.0,0.0,0.0
526,0,4.0,0.0,3.0,0.0,1.0
527,0,9.0,49.0,45.0,11.0,5.0
528,1,21.0,4.0,4.0,0.0,1.0
529,1,13.0,0.0,0.0,0.0,0.0
530,0,9.0,0.0,0.0,0.0,0.0
531,0,7.0,59.0,56.0,6.0,12.0
532,0,39.0,6.0,4.0,0.0,1.0
533,0,11.0,8.0,10.0,0.0,1.0
534,0,21.0,2.0,1.0,5.0,3.0
535,0,9.0,38.0,28.0,2.0,0.0
536,0,6.0,9.0,8.0,0.0,0.0
537,0,18.0,10.0,10.0,5.0,4.0
538,0,16.0,5.0,6.0,0.0,1.0
539,0,15.0,3.0,0.0,1.0,0.0
540,0,19.0,13.0,11.0,3.0,1.0
541,0,21.0,21.0,32.0,3.0,1.0
542,-1,5.0,3.0,0.0,1.0,4.0
543,0,35.0,19.0,16.0,4.0,4.0
544,0,3.0,0.0,0.0,0.0,0.0
545,1,21.0,1.0,3.0,1.0,0.0
546,1,19.0,76.0,70.0,4.0,5.0
547,0,9.0,4.0,3.0,0.0,2.0
